event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
1,initial_evap,homeOpto,transition,2026-06-02 16:14:27,2026-06-02 16:14:27,11.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
2,initial_evap,homeOpto,transition,2026-06-02 16:14:38,2026-06-02 16:14:38,22.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
3,initial_evap,carouselStatus,transition,2026-06-02 16:14:39,2026-06-02 16:14:39,23.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
4,initial_evap,carouselStatus,transition,2026-06-02 16:14:51,2026-06-02 16:14:51,35.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
5,initial_evap,homeOpto,transition,2026-06-02 16:14:51,2026-06-02 16:14:51,35.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
6,initial_evap,carouselStatus,transition,2026-06-02 16:14:52,2026-06-02 16:14:52,36.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
7,initial_evap,carouselStatus,transition,2026-06-02 16:14:53,2026-06-02 16:14:53,37.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
8,initial_evap,carouselStatus,transition,2026-06-02 16:14:55,2026-06-02 16:14:55,39.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
9,initial_evap,homeOpto,transition,2026-06-02 16:14:55,2026-06-02 16:14:55,39.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
10,initial_evap,carouselStatus,transition,2026-06-02 16:14:58,2026-06-02 16:14:58,42.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
11,initial_evap,homeOpto,transition,2026-06-02 16:14:59,2026-06-02 16:14:59,43.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
12,initial_evap,powerMon,ramp,2026-06-02 16:15:01,2026-06-02 16:15:07,45.0,6.0,23.901426,23.901804,0.000377999999997769,23.90123,23.90473,-0.0009410000000009688,2.8099441292641836,up
13,initial_evap,vialLoadedSwitch,transition,2026-06-02 16:15:10,2026-06-02 16:15:10,54.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
14,initial_evap,instrumentState,transition,2026-06-02 16:15:25,2026-06-02 16:15:25,69.0,0.0,1.0,3.0,2.0,1.0,3.0,,,up
15,initial_evap,powerMon,ramp,2026-06-02 16:15:30,2026-06-02 16:15:54,74.0,24.0,23.902652,23.8917,-0.010951999999999629,23.868526,23.902652,0.008554999999999424,22.66434787690853,down
16,initial_evap,measuredSpeed,ramp,2026-06-02 16:15:31,2026-06-02 16:15:34,75.0,3.0,6.683062,69.75446,63.071397999999995,6.683062,69.75446,26.174211999999997,5.740709537715694,up
17,initial_evap,targetSpeed,ramp,2026-06-02 16:15:31,2026-06-02 16:15:34,75.0,3.0,13.099995,44.525644,31.425649,13.099995,44.525644,12.546242,5.637798941797816,up
18,initial_evap,vacuumPressure,ramp,2026-06-02 16:15:34,2026-06-02 16:16:59,78.0,85.0,1002.5807,29.862652,-972.718048,29.024048,1002.5807,-65.20608000000001,689.2261943270536,down
19,initial_evap,interconnectionTemp,ramp,2026-06-02 16:15:53,2026-06-02 16:16:34,97.0,41.0,49.937484,54.327896,4.390412000000005,49.937484,54.327896,0.15344400000000036,11.149369111564111,up
20,initial_evap,powerMon,ramp,2026-06-02 16:16:11,2026-06-02 16:16:25,115.0,14.0,23.879868,23.877996,-0.0018719999999987635,23.875184,23.892264,-0.0020489999999995234,5.724056715581647,down
21,initial_evap,vialTemp,ramp,2026-06-02 16:16:28,2026-06-02 16:17:15,132.0,47.0,21.6,27.5,5.899999999999999,9.2,27.5,2.3000005000000003,8.543549620036751,up
22,initial_evap,powerMon,ramp,2026-06-02 16:16:33,2026-06-02 16:16:53,137.0,20.0,23.887088,23.888106,0.0010180000000019618,23.88459,23.892072,-0.0009569999999996526,3.500928227775662,up
23,initial_evap,avgVialTemp,ramp,2026-06-02 16:16:35,2026-06-02 16:17:17,139.0,42.0,20.898972,26.697964,5.798991999999998,10.827968,26.697964,1.4869994999999996,8.645982010391153,up
